Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The ethernet protocol lives at the _____ layer of the OSI model.,MC,,,data link,,physical,,transport,,network,,,,,,,,,,,,,,,,,,,,,,,,1
2,"Suppose that Bill is implementing a password manager system called ByteWarden, where all communications between any users and servers are encrypted using a pre-determined pad \(O\). Specifically, for all messages \(M_i\), the corresponding ciphertext \(C_i\) is determined with the following encryption scheme:
\(C_i = M_i \oplus O\).
Similarly, \(C_i\) can be decrypted with \(M_i = C_i \oplus O\).
Is ByteWarden secure?",MC,,,"Yes, because \(O\) is a one-time pad, and one-time pad offers perfect secrecy.",,"No, because the protocol requires that \(O\) match the size of each message.",,"No, because with knowledge of a given \(M_i\) and \(C_i\), one can compute \(O = M_i \oplus C_i\).",,"No, because with knowledge of two different ciphertexts \(C_1\) and \(C_2\), one can compute \(O = C_1 \oplus C_2\)",,,,,,,,,,,,,,,,,,,,,,,,3
3,"Let \(M\) be some message, let \(E_K(M)\) be the encryption of message \(M\) using symmetric key \(K\), and let \(MAC_K(M)\) be an authentication code for \(M\) dependent on \(K\). Emily is considering four possible methods of transmitting messages in her instant messanger application, and her goals are to achieve confidentiality, integrity, and authenticity. Which of the following options for message formats would functionally work but are <em>least</em> likely to result in her achieving her goals? ",MC,,,"\(E_K(M), MAC_K(E_K(M))\)",,"\(E_K(M), MAC_K(M)\)",,"\(E_K(M, MAC_K(M))\)",,"\(MAC_K(M, E_K(M))\)",,,,,,,,,,,,,,,,,,,,,,,,2
4,Which of the following statements regarding Public Key Cryptography and Infrastructure is <strong>incorrect</strong>?,MC,,,"In RSA cryptography, we can encrypt message \(M\) using public key \(\{e, n\}\) by taking \(M^e \text{ mod } n\).",,The Diffie-Hellman Key Exchange is resistant to man-in-the-middle attacks.,,The trust hierarchy in Public Key Infrastructure on the Web begins with implicitly trusted certificates baked into the browser.,,It is difficult to revoke a certificate that has already been granted before the certificate expires.,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In the Kerberos system, clients (C) receive a ticket \(\text{ticket}_{TGS}\) after authenticating to the Key Distribution Center (KDC) that can be used to authenticate to the Ticket Granting Service (TGS). What are the contents of \(\text{ticket}_{TGS}\)?
<i>Let \(E_K(M)\) refer to the encryption of \(M\) using key \(K\), let \(K_{C,TGS}\) refer to a session key known to both the client and the TGS, and let \(K_{TGS}\) refer to a key known to the TGS but not the client.",MC,,,"\(E_{K_{C,TGS}}(K_{TGS}, \text{ID}_C, \text{Addr}_C, \text{ID}_{KDC}, \text{time}_{KDC}, \text{lifetime})\)",,"\(E_{K_{C,TGS}}(K_{TGS}, \text{ID}_C, \text{Addr}_C, \text{ID}_{TGS}, \text{time}_{KDC}, \text{lifetime})\)",,"\(E_{K_{TGS}}(K_{C,TGS}, \text{ID}_C, \text{Addr}_C, \text{ID}_{KDC}, \text{time}_{KDC}, \text{lifetime})\)",,"\(E_{K_{TGS}}(K_{C,TGS}, \text{ID}_C, \text{Addr}_C, \text{ID}_{TGS}, \text{time}_{KDC}, \text{lifetime})\)",,,,,,,,,,,,,,,,,,,,,,,,4
6,Which of the following Python expressions computes \(12^{10000000} \text{ mod } 32\) most efficiently?,MC,,,<code>(12 ^ 10000000) % 32</code>,,"<code>mod(12 ^ 10000000, 32)</code>",,"<code>pow(12, 10000000) % 32</code>",,"<code>pow(12, 10000000, 32)</code>",,,,,,,,,,,,,,,,,,,,,,,,4
7,"Newer versions of SSL/TLS leverage session IDs to, in some cases, bypass which notably low-performing step?",MC,,,Sending hashes of all prior handshake messages to ensure authenticity.,,Exchanging nonces used to compute a shared secret key.,,Sending a shared secret using Public Key Cryptography.,,Computing the session key from a shared secret and nonces.,,,,,,,,,,,,,,,,,,,,,,,,3
8,"Which of the following statements is/are true regarding routing protocols?

I. In the Address Resolution Protocol (ARP), the resolution table is updated based on the first host to respond to a resolution request. <br />II. Packets with the source routing flag on should be dropped unless we are troubleshooting the network. <br />III. Under the Border Gateway Protocol (BGP), border routers would prioritize a route advertisement with the prefix <code>10.118.0.0/16</code> over a route advertisement with the prefix <code>10.118.128.0/17</code>.",MC,,,II only,,III only,,I and II only,,I and III only,,,,,,,,,,,,,,,,,,,,,,,,1
9,"DNSSEC, a protocol intended to mitigate many of the vulnerabilities inherent in DNS resolution, achieves authenticity via...",MC,,,an HMAC over all responses associated with a query ID.,,Public Key Infrastructure with a self-signed root.,,tickets encrypted with a key known only to the DNS.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,2
10,WEP (Wired Equivalent Privacy) is a wireless protocol that supports two modes of connection: Open System and Shared Key. Which of these modes is more secure and why?,MC,,,"Open System, because the alternative is vulnerable to known-plaintext attacks.",,"Open System, because it provides more opportunities for legitimate users to block traffic from malicious users.",,"Shared Key, because the alternative is vulnerable to denial-of-service attacks.",,"Shared Key, because it provides another layer of authentication.",,,,,,,,,,,,,,,,,,,,,,,,1
