Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Which of the following gyms is in the basement near the auditorium?,MC,,West Gym,,East Gym,,North Gym,,South Gym,,,,,,,,,,,,,,,,,,,,,,,,1
2,All of the following are true about tennis EXCEPT...,MC,,The same server serves for the whole game,,"The scoring in the game goes: 15, 30, 45, then game",,"From a deuce, a team needs to score twice in a row in order to win the game",,A serve should land in the diagonally opposite service box,,,,,,,,,,,,,,,,,,,,,,,,2
3,A score of one below par in golf is called a(n)...,MC,,Bogey,,Double Bogey,,Birdie,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,3
4,"In flag football, who is the one who remains behind the line of scrimmage after ""hike"" is called and throws/passes the ball?",MC,,Center,,Quarterback,,Receiver,,Defender,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In Archery, hitting the dead center of the target is worth 10 points. You have six arrows, and you use all of them in each round. What is the maximum possible score for each round?",MC,,6,,10,,16,,60,,,,,,,,,,,,,,,,,,,,,,,,4
6,Which of the following would be a violation of the rules of badminton?,MC,,Hitting the shuttlecock into the net,,Hitting the shuttlecock over the net,,Using a backhand serve,,Walking underneath the net to the other side mid-game,,,,,,,,,,,,,,,,,,,,,,,,4
7,Rally scoring in volleyball means that...,MC,,Only the server's team may score,,Only the receiving team may score,,No one is ever allowed to score,,Someone scores every round,,,,,,,,,,,,,,,,,,,,,,,,4
8,"During a volleyball ""spike,"" one should be particularly cautious about...",MC,,Touching the net,,Touching the ceiling,,Accidentally ingesting the volleyball,,Creating holes in the gym floor,,,,,,,,,,,,,,,,,,,,,,,,1
9,An individual's maximum heart rate is one's age subtracted from what number?,MC,,160,,200,,220,,250,,,,,,,,,,,,,,,,,,,,,,,,3
10,All of the following are types of aerobic exercise EXCEPT...,MC,,Running,,Swimming,,Heavy Weight Lifting,,Biking,,,,,,,,,,,,,,,,,,,,,,,,3
