Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Consider a relation with 20 rows and 4 columns. What is the degree of this relation?,MC,,,2,,4,,20,,80,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Consider a relation with a schema where every attribute is fully functionally dependent on the candidate key, and one of the fields in each tuple is a set of references to other tuples in the relation. This relation is in...",MC,,,first normal form but not necessarily second normal form.,,second normal form but not necessarily third normal form.,,third normal form.,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,4
3,"Suppose that relation \(A\) stores information about grocery stores and the fruit sold within each store, and relation \(B\) is just a one column relation of fruits. The schema is defined as follows (the set of underlined attributes for a given relation defines the candidate key):

\(A\)(<u>store_id</u>, store_name, <u>fruit</u>)<br />\(B\)(<u>fruit</u>)

What information is stored in \(A/B\)?",MC,,,The store ID and names of all stores in \(A\) that sell all fruit listed in \(B\),,The store ID and names of all stores in \(A\) that sell at least one fruit listed in \(B\),,"The store ID, names, and fruit sold for all stores in \(A\) that sell all fruit listed in \(B\)",,"The store ID, names, and fruit sold for all stores in \(A\) that sell at least one fruit listed in \(B\)",,,,,,,,,,,,,,,,,,,,,,,,1
4,"Consider a relational database of tourists and countries the tourists visited, containing the following schema (the set of underlined attributes for a given relation defines the candidate key):

Tourist(<u>tid</u>, name, age, sex, cid_country_visited, date_of_visit)<br />Country(<u>cid</u>, name, continent, date_founded)

Which of the following is a valid SQL query of this database?",MC,,,"<code>SELECT T.name, C.name, MAX(T.age) FROM tourist T JOIN country C ON T.cid_country_visited = C.cid GROUP BY T.name</code>",,"<code>SELECT T.name, C.name, MAX(T.age) FROM tourist T JOIN country C ON T.cid_country_visited = C.cid GROUP BY T.name, MAX(T.age)</code>",,"<code>SELECT T.name, MAX(T.age) FROM tourist T JOIN country C ON T.cid_country_visited = C.cid GROUP BY T.name, C.name</code>",,"<code>SELECT T.name, MAX(T.age) FROM tourist T JOIN country C ON T.cid_country_visited = C.cid GROUP BY T.name, C.name, MAX(T.age)</code>",,,,,,,,,,,,,,,,,,,,,,,,3
5,Which of the following statements regarding database storage is INCORRECT?,MC,,,Relying on the operating system to move pages of database information to/from memory results in suboptimal performance.,,"In a heap file, tuples are stored in a sorted order (based on some key).",,Physical denormalization of tuple data can improve the performance of common join operations.,,Log structured storage is desirable when anticipating a workload with many writes and few reads.,,,,,,,,,,,,,,,,,,,,,,,,2
6,Which of the following replacement policies (of frames in the buffer pool) generally results in the highest hit rate when the database's data is accessed multiple times in a looping sequence?,MC,,,"First Come, First Served",,Least Recently Used,,Most Recently Used,,Clock Replacement,,,,,,,,,,,,,,,,,,,,,,,,3
7,"When there exists a B+ tree indexing into a relation on a particular search key (and no other index), equality queries on that key take _____ time, and range queries on that key take _____ time.",MC,,,"constant, logarithmic",,"logarithmic, logarithmic",,"constant, linear",,"logarithmic, linear",,,,,,,,,,,,,,,,,,,,,,,,2
8,For which of the following hash index implementations are overflow pages not supported?,MC,,,Static Hashing,,Extendible Hashing,,Linear Hashing,,Quadratic Hashing,,,,,,,,,,,,,,,,,,,,,,,,2
9,"Suppose that you are executing a block nested loop join with relation \(A\) as the outer relation and relation \(B\) as the inner relation. \(A\) has 20 tuples and \(B\) has 30 tuples. Additionally, 5 tuples fit on each page, and there is enough space for 4 pages in the buffer pool. What is the I/O cost (in number of pages) of joining \(A\) and \(B\)?",MC,,,16,,24,,28,,124,,,,,,,,,,,,,,,,,,,,,,,,1
10,In which of the following DBMS process models does the DBMS mostly manage its own scheduling?,MC,,,Process per Worker,,Thread per Worker,,Application per Worker,,Embedded DBMS,,,,,,,,,,,,,,,,,,,,,,,,2
