Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following are true about the differing sizes of infinity EXCEPT...,MC,,,the set of all even integers has the same size as the set of all integers.,,the set of all integers has the same size as the set of all rational numbers.,,the set of all rational numbers has the same size as the set of all real numbers.,,None of the above are true statements.,,,,,,,,,,,,,,,,,,,,,,,,3
2,"A finite state automaton with 1 stack has _____ a finite state automaton with 2 stacks, which has _____ a finite state automaton with 3 stacks.",MC,,,"less power than, less power than",,"less power than, the same amount of power as",,"the same amount of power as, less power than",,"the same amount of power as, the same amount of power as",,,,,,,,,,,,,,,,,,,,,,,,2
3,Let \(L = \{ 0^a 1^a 2^a\) for some \(a > 0\) \(\}\). \(L\) is...,MC,,,regular.,,context-free.,,decidable by a Turing machine.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,3
4,Suppose that we know that \(L_1\) is undecidable. How would we prove that \(L_2\) is also undecidable?,MC,,,Construct a valid decider for \(L_1\) using the decider for \(L_2\) OR prove that \(L_1\) is mapping reducible to \(L_2\).,,Construct a valid decider for \(L_1\) using the decider for \(L_2\) OR prove that \(L_2\) is mapping reducible to \(L_1\).,,Construct a valid decider for \(L_2\) using the decider for \(L_1\) OR prove that \(L_1\) is mapping reducible to \(L_2\).,,Construct a valid decider for \(L_2\) using the decider for \(L_1\) OR prove that \(L_2\) is mapping reducible to \(L_1\).,,,,,,,,,,,,,,,,,,,,,,,,1
5,What is Rice's Theorem?,MC,,,Any nontrivial property about a Turing Machine is unrecognizable.,,Any nontrivial property about a Turing Machine is undecidable.,,Any nontrivial property about the language recognized by a Turing Machine is unrecognizable.,,Any nontrivial property about the language recognized by a Turing Machine is undecidable.,,,,,,,,,,,,,,,,,,,,,,,,4
6,"Consider the following tape configuration: \(10 q_0 01\). Suppose that the transition function of the Turing machine contained the following: \(q_0, 0 \to P1, L, q_1\). What will be the next tape configuration after one ""click""?",MC,,,\(1 q_1 011\),,\(1 q_1 101\),,\(101 q_1 1\),,\(110 q_1 1\),,,,,,,,,,,,,,,,,,,,,,,,1
7,Which of the following languages is unrecognizable?,MC,,,"\(\{ \langle M, w \rangle\) \(|\) \(M\) is a Turing Machine that accepts the input \(w\) \(\}\)",,"\(\{ \langle M, w \rangle\) \(|\) \(M\) is a Turing Machine that rejects the input \(w\) \(\}\)",,\(\{ \langle M \rangle\) \(|\) \(M\) does not accept any input \(\}\),,\(\{ \langle M \rangle\) \(|\) \(M\) accepts at least one input \(\}\),,,,,,,,,,,,,,,,,,,,,,,,3
8,"The Pumping Lemma states a property that for all input strings in a language \(L\) longer than a pumping length \(p\), that input can be split into sections \(xyz\) such that \(\forall i \geq 0, x y^i z \in L\), \(|y| > 0\), and \(|xy| \leq p\). This property holds true for all _____ languages and is a consequence of _____.",MC,,,"regular, Cantor's Theorem",,"regular, the Pigeonhole Principle",,"non-regular, Cantor's Theorem",,"non-regular, the Pigeonhole Principle",,,,,,,,,,,,,,,,,,,,,,,,2
9,"For every nondeterministic finite automaton with \(n\) states, there exists an equivalent deterministic finite automaton with a maximum of _____ states.",MC,,,\(n^2\),,\(\frac{n(n+1)}{2}\),,\(2^n\),,\(n!\),,,,,,,,,,,,,,,,,,,,,,,,3
10,"For a set of rules in a Context Free Grammar to be in Chomsky-Normal Form, each variable is paired with...",MC,,,a string of two terminals.,,a string of two non-terminals.,,either one terminal or a string of two non-terminals.,,either one non-terminal or a string of two terminals.,,,,,,,,,,,,,,,,,,,,,,,,3
11,"Which of the following problems is unknown whether or not it's in NP-Complete?
<i>This is assuming that we don't know whether or not \(P = NP\)</i>",MC,,,Find the prime factorization of a number,,Decide if a string is a palindrome,,Sudoku solver,,Decide if a graph contains a Hamiltonian Cycle,,,,,,,,,,,,,,,,,,,,,,,,2
12,"For a problem to be in NP-Hard, it must be...",MC,,,in NP but not in P.,,in both NP and NP-Complete.,,at least as hard as the hardest NP problems.,,harder than the hardest NP problems.,,,,,,,,,,,,,,,,,,,,,,,,3
13,The Cook-Levin Theorem states that every problem in NP is...,MC,,,mapping reducible to SAT.,,mapping reducible to 3SAT.,,poly-time reducible to SAT.,,poly-time reducible to 3SAT.,,,,,,,,,,,,,,,,,,,,,,,,3
14,Suppose that \(L_1\) and \(L_2\) are in NP. We can conclude that all of the following languages are also in NP EXCEPT...,MC,,,\(L_1 \cup L_2\),,\(L_1 \cdot L_2\),,\(\overline{L_1}\),,We cannot conclude that any of the above languages are in NP.,,,,,,,,,,,,,,,,,,,,,,,,3
15,Which of the following correctly describes the relationship between PSPACE and NPSPACE?,MC,,,PSPACE is a proper subset of NPSPACE.,,PSPACE = NPSPACE,,"PSPACE is a subset of NPSPACE, and it is unknown whether either of the above is true.",,The intersection of PSPACE and NPSPACE is the empty set.,,,,,,,,,,,,,,,,,,,,,,,,2
