Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"What is the genitive singular form of hic, haec, hoc?",MC,,huic,,huius,,hanc,,haec,,,,,,,,,,,,,,,,,,,,,,,,2
2,What is the ending of a 5th declension genitive plural?,MC,,arum,,erum,,ebus,,ei,,,,,,,,,,,,,,,,,,,,,,,,2
3,"To translate the present active participle of a verb, you would translate it as...",MC,,[verb]ing,,having been [verb]ed,,about to [verb],,to be [verb]ed,,,,,,,,,,,,,,,,,,,,,,,,1
4,The endings of third/fourth conjugation verbs in future active indicative are...,MC,,"bo, bis, bit, bimus, bitis, bunt",,"am, es, et, emus, etis, ent",,"em, as, et, amus, etis, ant",,"bo, bare, bebi, batus",,,,,,,,,,,,,,,,,,,,,,,,2
5,"Which subjunctive use does not use ""ut?""",MC,,Indirect Question,,Indirect Command,,Purpose Clause,,Result Clause,,,,,,,,,,,,,,,,,,,,,,,,1
6,"How do you say ""Don't cry!"" to a group of people in Latin?",MC,,noli lacrimare!,,nolite lacrimare!,,lacrima!,,lacrimate!,,,,,,,,,,,,,,,,,,,,,,,,2
7,"How do you translate ""amaturus"" to English?",MC,,loved,,love,,intending to love,,unrequited love,,,,,,,,,,,,,,,,,,,,,,,,3
8,"What is the best way to translate ""nobis faciendum est"" to English?",MC,,It is to be fled by us.,,We must flee.,,It is to be fled to us.,,He is to be fled by us.,,,,,,,,,,,,,,,,,,,,,,,,2
9,Why did Modestus and Strythio run away from the prison? (In the Latin textbook),MC,,They desired freedom.,,They feared that flesh eating bacteria would consume them.,,Prisoners escaped.,,They were about to get arrested.,,,,,,,,,,,,,,,,,,,,,,,,3
10,"Based on what was taught in this class, how do you translate ""iaceret"" to English?",MC,,having thrown,,He/she/it is throwing,,to be thrown by him,,It cannot be translated.,,,,,,,,,,,,,,,,,,,,,,,,4
