Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Which of the following would be an example of ""old biotechnology,"" developed thousands of years ago?",MC,,,Recombinant DNA techniques,,Stem cell research,,Synthetic biotechnology,,Beer brewing,,,,,,,,,,,,,,,,,,,,,,,,4
2,"Based on what we know about genetically modified organisms (GMOs), which of the following is a valid concern?",MC,,,GMOs are not safe to eat.,,Overuse of herbicides on herbicide-resistant crops leads to more herbicide-resistant weeds.,,Introducing genetically modified crops is bad for the environment.,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
3,"In an industrial biotechnology process, the stage where the final product is purified is referred to as...",MC,,,fermentation.,,transformation.,,upstream processing.,,downstream processing.,,,,,,,,,,,,,,,,,,,,,,,,4
4,What is a plasmid?,MC,,,A piece of DNA found in bacteria that is not part of the main DNA.,,A section of the main DNA in bacteria.,,The structure holding genetic information in viruses.,,A piece of DNA found in certain organelles of eukaryotic cells.,,,,,,,,,,,,,,,,,,,,,,,,1
5,"What aspect about semi-random mutagenesis makes it ""semi-random""?",MC,,,The use of PCR.,,The use of degenerate primers.,,The use of circular ssDNA.,,The use of DNA shuffling.,,,,,,,,,,,,,,,,,,,,,,,,2
6,"When testing for the presence of a virus, a rapid antigen test detects the presence or absence of...",MC,,,viral protein.,,viral DNA.,,viral RNA.,,an immune response to viral infection.,,,,,,,,,,,,,,,,,,,,,,,,1
7,"Which of the following is a true statement regarding RT-PCR COVID-19 tests?
<i>A qualitative test indicates whether or not you have COVID-19. A quantitative test indicates the amount of viral load you have.</i>",MC,,,RT-PCR tests are approved to be used as both qualitative and quantitative tests.,,"RT-PCR tests were designed to be used as qualitative and quantitative tests, but are only approved to be used as qualitative tests.",,"RT-PCR tests were designed to be used as qualitative and quantitative tests, but are only approved to be used as quantitative tests.",,RT-PCR tests were designed to be used as qualitative tests and were not designed to be used as quantitative tests.,,,,,,,,,,,,,,,,,,,,,,,,2
8,Which of the following lists COVID variants from the least to most severe (when disregarding transmissibility)?,MC,,,"alpha, delta, omicron",,"alpha, omicron, delta",,"omicron, alpha, delta",,"omicron, delta, alpha",,,,,,,,,,,,,,,,,,,,,,,,2
9,What is the basic unit of output of sequencing technology?,MC,,,a read,,a fragment,,an adapter,,a library,,,,,,,,,,,,,,,,,,,,,,,,1
10,"The process of cloning involves fusing an enucleated egg cell with an adult skin cell, letting that fused cell divide a few times, then planting the resulting embryo in a surrogate mother. The cloned animal will have the same DNA as...",MC,,,the animal that produced the enucleated egg cell.,,the animal that fertilized the enucleated egg cell.,,the animal that produced the skin cell.,,the surrogate mother.,,,,,,,,,,,,,,,,,,,,,,,,3
11,What is one advantage of CRISPR over ZFNs and TALENs?,MC,,,CRISPR can edit DNA without introducing a double-stranded break.,,CRISPR can edit multiple sites in a single experiment.,,CRISPR does not require the presence of a PAM sequence to be adjacent to the target sequence.,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
12,SHERLOCK leverages CRISPR technology to...,MC,,,edit human DNA to change people's traits.,,provide a tool for running systematic experiments between genotype and phenotype.,,genetically incorporate immunity to herbicides.,,diagnose the presence of diseases.,,,,,,,,,,,,,,,,,,,,,,,,4
13,What tool is composed of many immobilized probes of known sequence and is often used to measure gene expression?,MC,,,Microarray,,Immunoassay,,SHERLOCK,,Oxford Nanopore,,,,,,,,,,,,,,,,,,,,,,,,1
14,How does ion torrent sequencing detect base incorporation?,MC,,,Measure fluorescence of fluorescently tagged ddNTPs.,,Measure the number of photons emitted.,,Measure the change in pH.,,Measure the percentage of nucleotides that successfully anneal to a primer with a known sequence.,,,,,,,,,,,,,,,,,,,,,,,,3
15,"Contrary to conventional biopsies, liquid biopsies....",MC,,,are relatively painless.,,are expensive.,,give a sample from only one tumor.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,1
