Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following statements are in line with Metcalfe's Law EXCEPT...,MC,,,"When a link is added from one page to another, value is added to both pages.",,The Web is less valuable when there exist features that work in Chrome but not in Firefox.,,The Web is more valuable when there exist partitions that each follow their own specifications.,,Pages with paywalls decrease the Web's value if they would otherwise be freely accessible.,,,,,,,,,,,,,,,,,,,,,,,,3
2,"In HTML, markup of text is specified with a nested structure, e.g. <u>underline</u> is specified as <code>&lt;u>underline&lt;/u></code>. This type of markup is referred to as...",MC,,,model/view separation.,,content negotiation.,,mixed content.,,partial understanding.,,,,,,,,,,,,,,,,,,,,,,,,3
3,Which of the following accurately describes the end-to-end principle?,MC,,,The best way to ensure the correctness of a system is to ensure the reliability of each component by checking each of them end-to-end.,,"A single end-to-end check of a system is both necessary and sufficient to ensure that the system worked, and any additional checks within the system are at best a performance optimization.",,"Both a single end-to-end check and the combination of multiple checks within a system are sufficient alternatives for ensuring that the system worked, but a single end-to-end check would perform better.",,Both an end-to-end check between the endpoints of a system and additional checks between the endpoints of each component are necessary to ensure that the system worked.,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Which of the following statements are true of circuit switching?

I. Digital communication makes circuit switching possible. <br /> II. With circuit switching, any distortions made to the signal during transmission can be easily undone. <br />III. ""Smarts"" are incorporated in the middle of circuit-switched networks.",MC,,,III only,,I and II only,,I and III only,,"I, II, and III",,,,,,,,,,,,,,,,,,,,,,,,1
5,Which of the following accurately describes the Internet Protocol (IP)?,MC,,,"Assuming no unforseen errors, any packet sent over IP is guaranteed to arrive at the destination address.",,The content of any packet sent over IP is checksummed.,,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,4
6,"Consider the following lines of C++ code. What is printed?
<i>Assume that all necessary libraries are included.</i>",MC,"std::string hello_str = ""hello"";
const char *hello_cstr = hello_str.c_str();
hello_str += ""world"";
printf(""%s\n"", hello_cstr);",,<code>hello</code>,,<code>hello world</code>,,<code>helloworld</code>,,The behavior is undefined.,,,,,,,,,,,,,,,,,,,,,,,,4
7,URIs that begin with <code>file:///</code> are _____ names.,MC,,,global,,absolute,,relative,,Both the first option and the second option.,,,,,,,,,,,,,,,,,,,,,,,,2
8,"Consider the following URI:
<code>https://randys-review-questions.github.io/pages/f23/cs117/index.html#<u>single_question</u></code>
The underlined component is referred to as the...",MC,,,authority.,,fragment.,,query.,,scheme.,,,,,,,,,,,,,,,,,,,,,,,,2
9,"Suppose that you are designing a system that needs to integrate well with C++ code. Further suppose that there are some pretty restrictive size limitations on the individual messages that can be sent between the components of the system. Between RPC (Remote Procedure Call) and REST (REpresentational State Transfer), _____ would be the better choice, and the protocols should ideally be _____.",MC,,,"RPC, stateful",,"RPC, stateless",,"REST, stateful",,"REST, stateless",,,,,,,,,,,,,,,,,,,,,,,,1
10,Which of the following best describes the abstraction that TCP provides?,MC,,,Unreliable delivery of messages between programs,,Unreliable byte streams between programs,,Reliable delivery of messages between programs,,Reliable byte streams between programs,,,,,,,,,,,,,,,,,,,,,,,,4
11,Which of the following is an example of pipelining?,MC,,,"A group of students on vacation complete their tour of England before beginning their tour of France, and complete their tour of France before beginning their tour of Spain.",,"Out of 100 final exams turned in by students, five TAs grade 20 exams each.",,Each individual in a group of volunteers at a soup kitchen serves one food item to the people waiting in line.,,A librarian sorts books on a bookshelf in alphabetical order by continuing to randomly shuffle them until they are sorted.,,,,,,,,,,,,,,,,,,,,,,,,3
12,"Distributed Two-Phase Commit is one method by which a transaction can be executed across multiple nodes of a system. But in the event that the network partitions, which of the following (from the CAP theorem) is not maintained?",MC,,,Consistency,,Availability,,Partition Tolerance,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
13,"In ""Reflections on Trusting Trust"" by Ken Thompson, Ken describes a bug that he was able to plant in the C compiler that in his final version (stage III)...",MC,,,introduced a cross-site scripting (XSS) vulnerability.,,exploited leaky hardware abstractions.,,was very well hidden in the source code and not noticeable to the everyday user.,,could not be found in the source code.,,,,,,,,,,,,,,,,,,,,,,,,4
14,Which of the following is most dangerous toward compatibility when introducing a new version of a system?,MC,,,Introducing new syntax as an alternative way to use an existing feature,,Introducing a new feature with unique syntax,,Changing the meaning of existing syntax to use a new feature,,Removing an existing feature,,,,,,,,,,,,,,,,,,,,,,,,3
15,Which principle encourages the use of declarative languages (as opposed to imperative languages) on the Web wherever possible?,MC,,,The Rule of Least Power,,The Robustness Principle,,Separation of concerns,,The KISS principle,,,,,,,,,,,,,,,,,,,,,,,,1
