Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The variable that is being measured in science is the...,MC,,Independent Variable,,Dependent Variable,,Control,,Constant,,,,,,,,,,,,,,,,,,,,,,,,2
2,A human population pyramid of a developing country is a _____ shape.,MC,,Triangle,,Diamond,,House,,Beehive,,,,,,,,,,,,,,,,,,,,,,,,1
3,A disaccharide is a sugar with...,MC,,one monosaccharide,,two monosaccharides,,zero monosaccharides,,3+ monosaccharides,,,,,,,,,,,,,,,,,,,,,,,,2
4,In which organelle are proteins packaged into vesicles?,MC,,Endoplasmic Reticulum,,Nucleus,,Mitochondria,,Golgi bodies,,,,,,,,,,,,,,,,,,,,,,,,4
5,The code for the sequence of amino acids in protein ultimately comes from...,MC,,DNA,,mRNA,,tRNA,,Ribosome,,,,,,,,,,,,,,,,,,,,,,,,1
6,Sex cells contain a ____ number of chromosomes.,MC,,Diploid,,Triploid,,Haploid,,Quenploid,,,,,,,,,,,,,,,,,,,,,,,,3
7,Cross HH x hh. What percentage probability is there for an offspring with Hh?,MC,,0%,,25%,,50%,,100%,,,,,,,,,,,,,,,,,,,,,,,,4
8,A bacteria that produces human insulin would be classified as a(n)...,MC,,Human,,Lipid,,Transgenic organism,,Animal,,,,,,,,,,,,,,,,,,,,,,,,3
9,The _____ undergoes evolution.,MC,,Individual,,Species,,Cell,,Ecosystem,,,,,,,,,,,,,,,,,,,,,,,,2
10,Which of the following is both a domain AND a kingdom?,MC,,Eukarya,,Archaea,,Protista,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,2
